id,claim,domain,structure,label,topic,source,Topic,item_id,prediction,correct,model
10343.0,It’s not just the settlers—it’s the Israeli government! It’s Netanyahu. Netanyahu tried to sink Obama and elect Trump. His AIPAC allies fund neofascist Republicans. His ministers want genocide. One minister is a former terrorist. Why don’t all educated Americans know this already? Media failure.,2,UGC,1,Global Politics,UGC,,343,0,0,roberta-base
10086.0,"Rates of colorectal cancer have been rising in young people over the past decade. In today's episode, we explore what might be behind this alarming trend and how a camera strapped to a two-year-old helps AI to learn language.",1,UGC,1,Medicine/Public Health,UGC,,86,1,1,roberta-base
10264.0,"A bill to bring same-day voter registration to New Jersey has existed for soooo long, and hasn't passed in the Dem legislature, and here's the latest effort to revive it:

newjerseymonitor.com/2023/11/22/n…",2,UGC,1,Elections,UGC,,264,1,1,roberta-base
20273.0,Democrats Reveal BIG CLUE in the BIG STEAL: Operatives Manufactured Votes from Low Income Voters to Steal the Battleground States — Start the Canvassing!,2,NGC,0,,NGC,Elections,1264,0,1,roberta-base
20412.0,‘Absolutely unacceptable’: Zelenskyy condemns corruption in energy sector targeted by Russia,3,NGC,1,,NGC,Ukraine/Russia,1403,1,1,roberta-base
20187.0,"I did my duty' Mike Pence gets courage award for certifying election on Jan. 6th, 2021.",2,NGC,1,,NGC,Jan 6th,1178,0,0,roberta-base
10419.0,"Oh, this is a big deal: Statement today from Ukraine's SBU. It's charging former Ukrainian lawmaker Derkach and former Ukrainian prosecutor Kulyk with treason against Ukraine.",3,UGC,1,Ukraine/Russia,UGC,,419,1,1,roberta-base
20039.0,WHO warns of declining global vaccination rates: Coverage dropped from 86% to 81% in past year. Urges renewed focus on equity.,1,NGC,1,,NGC,Vaccines,1030,1,1,roberta-base
20447.0,Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.,3,NGC,0,,NGC,Ukraine/Russia,1438,0,1,roberta-base
20300.0,Hillary Clinton has third heart attack — docs says she 'won't survive'.,2,NGC,0,,NGC,Political Figures,1291,1,0,roberta-base
20064.0,NEW STUDY: mRNA vaccine reduces sperm rate for up to five months,1,NGC,0,,NGC,Vaccines,1055,1,0,roberta-base
20220.0,REPORT: CBP reports record 2.76 million border encounters in fiscal year 2022,2,NGC,1,,NGC,Immigration,1211,0,0,roberta-base
10468.0,"US planes in fire after #Iran's missile attack: Source http://bit.ly/39P6gnq #IranvsUSA #Solemani #IranAttacks #AinAssad.""",3,UGC,0,Iran,UGC,,468,0,1,roberta-base
20396.0,McDonald’s changes its food wrappers to support Israel amid the war.,3,NGC,0,,NGC,Palestine/Isreal,1387,0,1,roberta-base
10375.0,"According to an Israeli study, the proportion of civilian deaths in Gaza by the IDF is the highest of any conflict in the 20th century. So congrats to all the sick fucks who have been either downplaying or gaslighting or outright funding this. ",3,UGC,0,Palestine/Isreal,UGC,,375,1,0,roberta-base
10353.0,"ICJ finds Israel has a case to answer for genocide in Gaza. Yes Bibi is now a full blown war and genocide criminal, lock him up",3,UGC,1,Palestine/Isreal,UGC,,353,0,0,roberta-base
10410.0,Fuck. Ukraine ordered the complete withdrawal from Avdiivka. Giving up a stronghold to Russia.,3,UGC,1,Ukraine/Russia,UGC,,410,0,0,roberta-base
10033.0,"Emily Oster told parents kids faced little risk from COVID. Not only has the disease been a leading cause of death, but an estimated 5.8 million kids suffer long COVID. Oster said schools wouldn’t be hotbeds of COVID transmission. That wasn’t true either. Well, now she has a clothing line.",1,UGC,1,Covid,UGC,,33,1,1,roberta-base
10119.0,Simply affirming a teenager's gender is akin to affirming anorexia. Both are body dysmorphic disorders. Yet we don't teach a starving teenager how to binge and purge; or affirm that they are indeed overweight.,1,UGC,0,Sexual/Gender Health,UGC,,119,0,1,roberta-base
20251.0,"Texas Democrat calls mail-in ballot fraud the ""great source of voter fraud in this state.""",2,NGC,1,,NGC,Elections,1242,1,1,roberta-base
20207.0,NEWS: Minnesota Gov. Tim Walz signs into law driver's licenses for illegal immigrants,2,NGC,1,,NGC,Immigration,1198,0,0,roberta-base
10395.0,Hamas leaders (stealing billions $ in humanitarian aid for years) are hanging with the ladies at the disco in Qatar.    They don't give a shit about their citizens.  What has Hamas ever done to help their citizens?  Bomb shelters? Nope.  Terrorist tunnels? Yup.,3,UGC,0,Palestine/Isreal,UGC,,395,0,1,roberta-base
10128.0,"time again to remind everyone that leana wen was forced out of leadership at planned parenthood because she wanted to ""de-politicize"" the org — heeling the political arm, deemphasizing abortion rights and care for trans people to court an imagined broader donor base — during the trump administration",1,UGC,1,Sexual/Gender Health,UGC,,128,1,1,roberta-base
20174.0,"Trump watched Jan. 6 U.S. Capitol riot unfold on TV, ignored pleas to call for peace",2,NGC,1,,NGC,Jan 6th,1165,1,1,roberta-base
20477.0,"Trump said Iran's nuclear sites were 'obliterated,' but questions remain about enriched uranium",3,NGC,1,,NGC,Iran,1468,1,1,roberta-base
20421.0,Ukraine's former parliamentary speaker shot dead,3,NGC,1,,NGC,Ukraine/Russia,1412,1,1,roberta-base
20011.0,"Latinx people more vulnerable to COVID-19, US study finds",1,NGC,1,,NGC,Covid,1002,1,1,roberta-base
20261.0,A “ballot dump” around 4 a.m. in Milwaukee shows the Wisconsin Senate election was stolen from the Republican candidate.,2,NGC,0,,NGC,Elections,1252,0,1,roberta-base
10218.0,President Trump had the illegal alien crisis under control. Biden has been lagging behind and his broder policies have caused a CRSIS IN AMERICA,2,UGC,0,Immigration,UGC,,218,0,1,roberta-base
10357.0,"Arab Americans in Michigan are protesting the democrats for their position in the Isreal-Hamas war…I respect the initiatvie but the potential consequences  are a 2nd term for trump, which will def make things worse for Palestinians. ",3,UGC,1,Palestine/Isreal,UGC,,357,0,0,roberta-base
20342.0,The United Nations replaces all 193 country flags with LGBT flags.,2,NGC,0,,NGC,Global Politics,1333,0,1,roberta-base
20074.0,"The Vietnam War claimed 58,200 American lives in 19 years and six months. In 2016, 64,070 Americans died of an overdose from opioids or heroin -report by Police Executive Research",1,NGC,1,,NGC,Drug Crisis,1065,1,1,roberta-base
20442.0,"PRESIDENT VLADIMIR PUTIN RELEASED 35,000 CHILDREN FROM TUNNELS AND SUBWAY IN UKRAINE",3,NGC,0,,NGC,Ukraine/Russia,1433,0,1,roberta-base
10292.0,Obama and his administration is still running the country illegally and unelected they are the Deep state so what are we going to Do about it when do they get arrested,2,UGC,0,Political Figures,UGC,,292,0,1,roberta-base
10450.0,"Isn't Putin focusing on the bio labs in Ukraine? It's more like a covert operation to target the deep state and stop Biden from developing the next COVID. That is just my opinion, but it's possible and believable. Right?",3,UGC,0,Ukraine/Russia,UGC,,450,0,1,roberta-base
10315.0,Pelosi risked WW3 to get her hair done at a salon!,2,UGC,0,Global Politics,UGC,,315,0,1,roberta-base
20090.0,New report: Fentanyl leading cause of death among teens and young adults.,1,NGC,0,,NGC,Drug Crisis,1081,1,0,roberta-base
10209.0,"Biden transferring funds from FEMA to help  Illegals!!! They shouldn't get Welfare Benefits while we have 47,000 Homeless Veterans. Almost 50k veterans that are homeless and owe Veterans everything, we own Illegals nothing but deportation! <emoji: hugging_face><emoji: us><emoji: pray><emoji: heart>",2,UGC,0,Immigration,UGC,,209,0,1,roberta-base
10475.0,Iran has always been the problem. Who gave BILLIONS of USD to Iran?!?! OBAMA! All roads lead to OBAMA,3,UGC,0,Iran,UGC,,475,0,1,roberta-base
10510.0,Obama sent $1.7 billion in CASH to Iran and nobody in Washington DC called for an investigation.  Deep State cover-u,3,UGC,1,Iran,UGC,,510,0,0,roberta-base
10235.0,"NEW POD: Alex Marlow talks about the horrific story from our border, where national guardsman are dying trying to save drowning illegal aliens.",2,UGC,1,Immigration,UGC,,235,0,0,roberta-base
10075.0,The party that declares themselves as the party of science thinks handing out free crack pipes to drug addicts is a wise public health decision. These people are wrong about EVERYTHING!,1,UGC,0,Medicine/Public Health,UGC,,75,0,1,roberta-base
20169.0,"ANTIDEPRESSANTS harm the baby in the womb, despite the LIES purported by shilling psychiatrists and chronic sick care media",1,NGC,0,,NGC,Sexual/Gender Health,1160,0,1,roberta-base
10344.0,"More than 100 Palestinians have been killed in Israeli strikes on Gaza since the truce with Hamas expired earlier today,",3,UGC,1,Palestine/Isreal,UGC,,344,1,1,roberta-base
10337.0,The head of climate talks literally runs an oil company… but yeah im sure these climate talks will be productive,2,UGC,1,Global Politics,UGC,,337,0,0,roberta-base
10251.0,The just out movie 2000 Mules shows conclusively that the 2020 Presidential Election was Rigged and Stolen. It is a brilliant movie that will go down as one of the most consequential of all time. SEE IT NOW!,2,UGC,0,Elections,UGC,,251,0,1,roberta-base
10366.0,"Israel guided 1.5 million Palestinians into Rafah. They moved the ""safe zone"" further and further south, until Rafah was all that was left. Now they're bombing Rafah, and people have nowhere to go, nowhere to flee. It's genocide.",3,UGC,1,Palestine/Isreal,UGC,,366,1,1,roberta-base
10493.0,"Hey, MAGA- you squealed like a bunch of little bitches & lost your shit, when Obama sent Iran $400 million of THEIR own money in the nuclear deal. Now, your demented cult leader is sending a dictator in Argentina $40 BILLION of OUR tax dollars. You little cult bitches sure are quiet about that. Why?",3,UGC,1,Iran,UGC,,493,0,0,roberta-base
10254.0,The ground work is being laid for another stolen election in 2022. The PSY-OP has begun.  By law all paper for elections must me made IN the USA by USA materials and by USA manufacturers. Media misinformation campaign underway in order to push for unauditable electronic voting system. #Truth #trumptruths  #g99 #umtoo #tnt #V25 #D47 #p4e #ratpack #maga #trumptrains #mt22 #2000mules  ************** https://www.businessinsider.com/paper-shortages-high-costs-threaten-voting-in-the-2022-elections-2022-3,2,UGC,0,Elections,UGC,,254,0,1,roberta-base
20172.0,"BREAKING: The Supreme Court restores Donald Trump on Colorado's primary ballot, saying the state can't disqualify him over his actions on Jan. 6, 2021.",2,NGC,1,,NGC,Jan 6th,1163,1,1,roberta-base
10289.0,Barack Obama is running your country he‚Äôs your deep state,2,UGC,0,Political Figures,UGC,,289,0,1,roberta-base
20189.0,Trump once called Jan. 6th a 'heinous attack.' Now he calls it a 'day of love.',2,NGC,1,,NGC,Jan 6th,1180,1,1,roberta-base
10296.0,I keep thinking about how MAGA holds on to even the most baseless conspiracies. Like the GOP has been trying to expose Obama as being Kenyan for years. Obama has provided mountains of evidence proving the he is american.,2,UGC,1,Political Figures,UGC,,296,0,0,roberta-base
10085.0,"Vegetable oils, such as corn oil, soybean oil and canola oil, have been linked to heart disease,gastrointestinal disease, inflammatory conditions, cancer and other chronic diseases.Replacing them with healthy fats is one of the simplest ways to boost your health. Link in bio for a list of your healthiest options. https://bit.ly/39boUKm",1,UGC,1,Medicine/Public Health,UGC,,85,1,1,roberta-base
20133.0,Baryta Carb slwos progression of childlike regression in Alzheimer's patients.,1,NGC,0,,NGC,Medicine/Public Health,1124,0,1,roberta-base
10163.0,"Virginia requires polio vaccines? Damn,  I didn't think that one was in regular distribution at this point",1,UGC,1,Vaccines,UGC,,163,1,1,roberta-base
10137.0,"This is exactly the approach that opponents of gender affirming care say they want? But Finland research claims their poor results cast doubt on the good outcomes in the US, while completely obscuring what their actual procedures are or how many youth, if any, access hormones or puberty blockers.",1,UGC,1,Sexual/Gender Health,UGC,,137,1,1,roberta-base
20441.0,Biden threatens to assassinate Ukraine president.,3,NGC,0,,NGC,Ukraine/Russia,1432,0,1,roberta-base
20299.0,Hillary Clinton leaves country as Mueller indictment is announceed,2,NGC,0,,NGC,Political Figures,1290,0,1,roberta-base
10293.0,Hillary Clinton approved dissemination of Trump-Russian bank allegations to media,2,UGC,1,Political Figures,UGC,,293,0,0,roberta-base
10069.0,Trump tried to warn us he pushed HCQ / ivermectin both banned but HCQ could very wrong turn out to be a wonder drug a cure for cancer possibly no more chemotherapy could it be Big Pharma had it all along my brother in law works with Cancer patients to help them get their meds because they are so darned expensive just shows you how Powerful Greedy and Evil these people are the Pandemic says it all,1,UGC,0,Medicine/Public Health,UGC,,69,0,1,roberta-base
10469.0,Iran was WEEKS away from nuclear weapons. We dodged a bullet. ,3,UGC,0,Iran,UGC,,469,0,1,roberta-base
10064.0,"Friendly reminder that there is no evidence that jail solves  a drug crisis! But there is data linking  education, treatment and housing and lower drug abuse rates. ",1,UGC,1,Drug Crisis,UGC,,64,1,1,roberta-base
10334.0,"EU leaders are meeting in Brussels for their quarterly summit with a goal of securing financial and political support for Ukraine. But Prime Minister Viktor Orban of Hungary, who is seen as Vladimir Putin's closest ally, has suggested he will block both.",2,UGC,1,Global Politics,UGC,,334,1,1,roberta-base
20078.0,British Columbia to recriminalize use of drugs in public spaces,1,NGC,1,,NGC,Drug Crisis,1069,1,1,roberta-base
20308.0,Minnesota Gov. Tim Walz had his stomach pumped after overingesting horse semen.,2,NGC,0,,NGC,Political Figures,1299,0,1,roberta-base
10040.0,It only take a minimal amount on the  skin to kill a person.  Who is to say they are not transporting the fentanyl to our government.  They could take drones and drop the powder into large crowds and people would just fall over dead from overdose. Perhaps it is not about drug use and addiction at all.  Perhaps it is just another plan for population control.  I just think ahead of these evil people and all of the ways they plan to kill us.  Don‚Äôt believe it can‚Äôt happen.,1,UGC,0,Drug Crisis,UGC,,40,0,1,roberta-base
20369.0,IDF launches Gaza City ground offensive; U.N. report finds Israel is committing genocide,3,NGC,1,,NGC,Palestine/Isreal,1360,1,1,roberta-base
10037.0,Fentanyl is being smuggled across the southern border at historic rates and it's the leading cause of death for Americans aged between 18-45.   A standard fatal overdose of it is 2 milligrams.   Biden must secure our borders and save American lives.,1,UGC,0,Drug Crisis,UGC,,37,1,0,roberta-base
20056.0,STUDY: Pfizer's COVID-19 Vaccine DOES Lower Men's Sperm Count. ,1,NGC,0,,NGC,Vaccines,1047,0,1,roberta-base
20397.0,North Korean President Kim Jong Un blames President Joe Biden for the Israel-Hamas war,3,NGC,0,,NGC,Palestine/Isreal,1388,0,1,roberta-base
20006.0,"For some cases of long Covid, a new study suggests serotonin reduction is triggered by remnants of the coronavirus lingering in the gut. Depleted serotonin could especially explain memory problems and some neurological and cognitive symptoms, experts say.",1,NGC,1,,NGC,Covid,997,1,1,roberta-base
20231.0,Mexico's Next President Calls for An Invasion Of The US,2,NGC,0,,NGC,Immigration,1222,0,1,roberta-base
20138.0,"Last November, the NYT printed a very long story raising fears that puberty blockers could have lifelong impacts on bone health. A year and 20 gender-affirming care bans later, research finds these concerns were largely unfounded.",1,NGC,1,,NGC,Sexual/Gender Health,1129,1,1,roberta-base
20303.0,SHOCKING: Justin Trudeau’s plane found filled with cocaine as he lands in India for the G20 summit.,2,NGC,0,,NGC,Political Figures,1294,0,1,roberta-base
10151.0,THESE VACCINES DID DAMAGE TO PEOPLES  IMMUNE SYSTEMS THAT THEY WILL NOT ACT RIGHT WHEN UNDER ATTACK..WILL THE COMING FLU SEASON REVEAL THERE IS A BIG PROBLE!!,1,UGC,0,Vaccines,UGC,,151,0,1,roberta-base
10113.0,Democrats in Delaware is trying to pass a bill that would allow children to get puberty blockers and abortions without their parents.,1,UGC,0,Sexual/Gender Health,UGC,,113,1,0,roberta-base
10389.0,80% of Israelis think Netanyahu should resign.,3,UGC,0,Palestine/Isreal,UGC,,389,1,0,roberta-base
20482.0,"Britain, France and Germany say Iran has failed to abide by a 2015 deal over its nuclear program, according to Reuters.",3,NGC,1,,NGC,Iran,1473,1,1,roberta-base
20018.0,Claim that Dr. Anthony Fauci's statement that the coronavirus death rate is 10 times that of the seasonal flu is a claim without any scientific basis.,1,NGC,0,,NGC,Covid,1009,0,1,roberta-base
10382.0,Israeli gov spokesperson says they deliberately targeted WHO (World Health Organization) workers because they are KHAMAS,3,UGC,0,Palestine/Isreal,UGC,,382,0,1,roberta-base
20139.0,"Scoop: Republicans are quietly delaying more than $1 billion in planned funding for a life-saving HIV program — demanding changes to terms like abortion, sexual reproductive health, even ""human rights"" in the program’s documents.",1,NGC,1,,NGC,Sexual/Gender Health,1130,1,1,roberta-base
20234.0,Update: Van full of illegals caught voting at multiple Alabama polling locations. ,2,NGC,0,,NGC,Immigration,1225,0,1,roberta-base
10176.0,PELOSI'S IDEA OF DOING THE PEOPLES BUSINESS WAS ROBBING THEM BLIND TO ENRICH HERSELF.FOR THE PART SHE PLAYED WITH SHUMMER AND THE FBI ON JAN 6th SHOULD BE HUNG FOR TREASON <emoji: rage><emoji: fire><emoji: fire>,2,UGC,0,Jan 6th,UGC,,176,0,1,roberta-base
10354.0,"Joe Biden is pushing  a post-Hamas future for Gaza, in the direction of a Palestinian state, and is tussling with Bibi about it. Meanwhile some Americans are angry with Biden for not supporting an immediate ceasefire that would keep Hamas in power,  leading  to more war.  SMH.",3,UGC,1,Palestine/Isreal,UGC,,354,1,1,roberta-base
10445.0,Pelosi is going to Kyiv to finalize her and Paul's final money laundering scheme to stop the red tsunami from taking back america.,3,UGC,0,Ukraine/Russia,UGC,,445,0,1,roberta-base
20293.0,NEWS JUST IN: Barack and Michel Obama 'Locked in Bombshell Divorce of the Century' —And How It Is Set to Cost Power Couple a $70Million Fortune,2,NGC,0,,NGC,Political Figures,1284,0,1,roberta-base
20044.0,"COVID mRNA vaccines do NOT cause cancer or make cancer return. No scientific evidence suggests ANY vaccine causes cancer. In fact, some vaccines (like HPV & Hepatitis B) help prevent cancer.",1,NGC,1,,NGC,Vaccines,1035,1,1,roberta-base
10070.0,"While it may not cure Covid, the anti-malaria drug hydroxychloroquine could help treat cancer, a new study suggests. https://www.dailymail.co.uk/health/article-10610683/Could-Donald-Trumps-favourite-Covid-pill-beat-cancer.html",1,UGC,0,Medicine/Public Health,UGC,,70,1,0,roberta-base
20223.0,BREAKING: Court orders Trump administration to fully restore DACA program,2,NGC,1,,NGC,Immigration,1214,0,0,roberta-base
10006.0,Domestic oil is the new ivermectin. You can't have it because it would resolve the crisis they need you to go through. IVERMECTIN IS THE CURE FOR COVID.,1,UGC,0,Covid,UGC,,6,0,1,roberta-base
20173.0,EXCLUSIVE: Trump has a new plan to save himself in a Jan 6 prosecution ... blame the whole thing on his insurrectionist lawyers https://www.rollingstone.com/politics/politics-features/donald-trump-jan6-jack-smith-rudy-giuliani-john-eastman-1234798826/,2,NGC,1,,NGC,Jan 6th,1164,0,0,roberta-base
10317.0,"China huffed‚ and they puffed‚ and they made it look like they're opposed to Nancy Pelosi but in reality they‚Äôre in bed with the DC uniparty working together to take down America from within.  Don‚Äôt be fooled by the fireworks, media coverage, and hyperbolic PR statements from both sides - it's all theatre",2,UGC,0,Global Politics,UGC,,317,0,1,roberta-base
20389.0,SCOOP: Ben & Jerry’s now selling “Free Palestine” and “From the River to Sea” ice cream flavors.,3,NGC,0,,NGC,Palestine/Isreal,1380,0,1,roberta-base
20445.0,REPORT: Putin beheaded bioweapon engineers in Ukraine.,3,NGC,0,,NGC,Ukraine/Russia,1436,0,1,roberta-base
10506.0,Iran literally helped Venezuela set up a drone factory. ,3,UGC,1,Iran,UGC,,506,0,0,roberta-base
20243.0,"In Georgia, it's illegal to give people water within 150 feet of a polling place and punishable by up to a year in prison.",2,NGC,1,,NGC,Elections,1234,1,1,roberta-base
10012.0,"Remember Folks! If they, Big Pharma‚ can keep people sick , that is returning customers. There is big money in that. Look at this! No wonder they want to keep people from getting Ivermectin. Not only does it cure COVID but it kills Cancer cells.<emoji: point_down><emoji: point_down><emoji: point_down><emoji: point_down><emoji: point_down><emoji: point_down><emoji: point_down><emoji: point_down> https://pubmed.ncbi.nlm.nih.gov/29257278/",1,UGC,0,Covid,UGC,,12,0,1,roberta-base
10349.0,This is outrageous. Israel's government has denied Rolling Stone a press credential after our critical coverage of Netanyahu and the widening conflict.  www.rollingstone.com/politics/pol...,3,UGC,1,Palestine/Isreal,UGC,,349,1,1,roberta-base
10458.0,Breaking News: Pentagon admits to ACCIDENTALLY SENDING $6.2 BILLION DOLLARS to UKRAINE.,3,UGC,0,Ukraine/Russia,UGC,,458,0,1,roberta-base
10205.0,Trump sat back and watched the insurrection get progressively more violent for over 3 hours and MAGA refuses to acknowledge he wanted an insurrection.,2,UGC,1,Jan 6th,UGC,,205,1,1,roberta-base
20110.0,"Cancer deaths in the U.S. are falling — with four million deaths prevented since 1991 — according to the American Cancer Society’s annual report, which highlighted declines in smoking, early detection and greatly improved treatments.",1,NGC,1,,NGC,Medicine/Public Health,1101,1,1,roberta-base
10412.0,"Protests erupting in Russia after they threw a Bashkir minority rights advocate in prison for 4 years for ""inciting ethnic discord"" and criticizing the military. The crackdown is getting worse",3,UGC,1,Ukraine/Russia,UGC,,412,1,1,roberta-base
20344.0,Netanyahu’s 'no starvation in Gaza' statement contradicts extensive evidence of hunger crisis,3,NGC,1,,NGC,Palestine/Isreal,1335,1,1,roberta-base
10158.0,"I don't know who needs to hear this, but in the past two years we've had a bio weapon unleashed on us so that politicians can use mail-in ballots to steal an election and implement global communism, had poisonous vaccines unconstitutionally and inhumanely mandated upon us so that rich elites could get wealthier and thin the population, had these same vaccines pushed on our children including babies, and had safety data about the poisonous vaccines intentionally hidden from us.  Time to stand up!",1,UGC,1,Vaccines,UGC,,158,0,0,roberta-base
20141.0,"Florida Republicans have introduced a new bill to effectively ban all abortions in the state, with an exception only for circumstances no doctor who is not also a lawyer could comply with. It explicitly bans all abortions for children who are rape victims www.flsenate.gov/Session/Bill...",1,NGC,1,,NGC,Sexual/Gender Health,1132,1,1,roberta-base
10199.0,"Fuck Mike Pence, but he refused to leave the Capitol to certify the election which took real courage and showed his commitment to true democracy in America.",2,UGC,1,Jan 6th,UGC,,199,0,0,roberta-base
20161.0,Abortion activists launch airbone 'abortion drone' to air-drop abortion pills to citizens ,1,NGC,0,,NGC,Sexual/Gender Health,1152,0,1,roberta-base
20424.0,Russia's foreign minister says no Putin-Zelenskyy summit planned despite Trump's peace push,3,NGC,1,,NGC,Ukraine/Russia,1415,1,1,roberta-base
20410.0,"Firepower' coming for Ukraine, Hegseth tells NATO",3,NGC,1,,NGC,Ukraine/Russia,1401,1,1,roberta-base
20365.0,Hundreds of thousands flee Israeli military's devastating assault on Gaza City,3,NGC,1,,NGC,Palestine/Isreal,1356,1,1,roberta-base
10356.0,"People keep bringing up the 2006 election in Gaza but
-roughly 75% of current residents of Gaza are under the age of 35, so weren't even 18 at the time
-There was 75% turnout at the time
-Hamas received 44.45% of the vote",3,UGC,1,Palestine/Isreal,UGC,,356,1,1,roberta-base
20180.0,DOJ fires dozens of prosecuters who habdled Jan. 6 cases,2,NGC,1,,NGC,Jan 6th,1171,1,1,roberta-base
10385.0,"The ADL officially announce that if you are anti-genocide and/or palestinian, you hate jewish people and are antisemetic trash.",3,UGC,0,Palestine/Isreal,UGC,,385,0,1,roberta-base
10338.0,"Jordan,  one of the driest in the world, were hesistant to sign a water deal with Isreal. If that doesn't tell you how bad things are in Gaza idk what will.",2,UGC,1,Global Politics,UGC,,338,1,1,roberta-base
20420.0,Trump says Putin and Zelenskyy are 'not ready' for peace as European powers meet,3,NGC,1,,NGC,Ukraine/Russia,1411,1,1,roberta-base
10269.0,"Colorado Supreme Court literally said Trump did an insurrection and kicked him off the ballot 4-3. then SCOTUS was like ""nah states can't do that"" and reversed it unanimously. didn't say he DIDN'T do it tho, just that states can't enforce it",2,UGC,1,Elections,UGC,,269,1,1,roberta-base
10397.0,"If folks don’t know by now, Israel created Hamas just as the CIA created ISIS, and those tunnels are run for the purposes of gun running and child trafficking. You're welcome.",3,UGC,0,Palestine/Isreal,UGC,,397,0,1,roberta-base
20007.0,"Antiviral Drug Can Speed Up Recovery of COVID-19 Patients, Study Shows",1,NGC,1,,NGC,Covid,998,1,1,roberta-base
20402.0,Trump puts onus on Zelenskyy to end conflict with Russia ahead of meeting,3,NGC,1,,NGC,Ukraine/Russia,1393,1,1,roberta-base
10288.0,"OBAMA IS A KENYAN DEEP STATE ACTOR PULLING THE STRINGS, BIDEN AND THE DEMS SHOULD BE ARRESTED FOR VIOLATING THE CONSTITUTION BY LETTING HIM RUN A SECRET THIRD TERM",2,UGC,0,Political Figures,UGC,,288,0,1,roberta-base
10020.0,There is no standard treatment for long COVID.,1,UGC,1,Covid,UGC,,20,1,1,roberta-base
10348.0,"The vast majority of detainees held by Israel without charge are Palestinian And when Palestinians ARE tried, they're tried in the Israeli military court which has a 99.7% conviction rate. Israel is an apartheid state.",3,UGC,1,Palestine/Isreal,UGC,,348,1,1,roberta-base
10259.0,"The Colorado Supreme Court barred Donald Trump from running in the state’s presidential primary after determining that he had engaged in insurrection on Jan. 6, 2021.",2,UGC,1,Elections,UGC,,259,1,1,roberta-base
10155.0,"It was on this great day, exactly four years ago, that President Trump signed RIGHT TO TRY.  She died because they refused the RIGHT TO TRY Ivermectin and Hydroxychloroquine. Instead she was given the death drug Remdesivir.<emoji: fire>RIP, you are forever missed!",1,UGC,1,Vaccines,UGC,,155,0,0,roberta-base
10139.0,NONE OF THE JABS ARE ACTUALLY VACCINES..THEY ARE EXPERIMENTS USED TO CONTROL OUR POPULATION!!,1,UGC,0,Vaccines,UGC,,139,0,1,roberta-base
20081.0,Tšilhqot'in Nation at UN calls for help from government to help battle toxic drug crisis ,1,NGC,1,,NGC,Drug Crisis,1072,1,1,roberta-base
10210.0,Biden is giving disaster releif funds to illegal aliens! What are we going to do when the next Katrina happens?,2,UGC,0,Immigration,UGC,,210,0,1,roberta-base
